iter	Passed	Remaining
0	0	74
1	1	71
2	2	68
3	2	65
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	61
10	7	59
11	8	59
12	8	58
13	9	57
14	10	57
15	10	56
16	11	55
17	12	54
18	12	54
19	13	54
20	14	53
21	15	53
22	15	52
23	16	52
24	17	51
25	18	51
26	19	51
27	19	51
28	20	50
29	21	50
30	22	49
31	23	49
32	23	48
33	24	47
34	24	46
35	25	45
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
